Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Info,Coord_rad
Marina Mandarin Hotel,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","<b>Carpark: </b>Marina Mandarin Hotel
<b>Address: </b>6 Raffles Boulevard, S(039594)
<b>Mon-Fri before 5/6pm: </b>\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs
<b>Mon-Fri after 5/6pm: </b>\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs
<b>Sat: </b>\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun
<b>Sun/ Public Holiday: </b>\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","(0.022539998774344708, 1.8126619287252419)"
Marina Square,"6 Raffles Boulevard, S(039594)","\$2.20/hr for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40/hr for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40/hr for 1st 2hr, \$1.20 for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","<b>Carpark: </b>Marina Square
<b>Address: </b>6 Raffles Boulevard, S(039594)
<b>Mon-Fri before 5/6pm: </b>\$2.20/hr for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs
<b>Mon-Fri after 5/6pm: </b>\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs
<b>Sat: </b>\$2.40/hr for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun
<b>Sun/ Public Holiday: </b>\$2.40/hr for 1st 2hr, \$1.20 for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","(0.022539998774344708, 1.8126619287252419)"
Manulife Centre,"51 Bras Basah Road, S(189554)","\$2.40 for 1st hr, \$1.45 for next subsequent 30min from 7.01am to 5.00pm",\$2.90/entry from 5.01pm to 7.00am the following day,Charges same as weekdays,\$2.90/4hr block from 7.01am to 7.00am the following day,"<b>Carpark: </b>Manulife Centre
<b>Address: </b>51 Bras Basah Road, S(189554)
<b>Mon-Fri before 5/6pm: </b>\$2.40 for 1st hr, \$1.45 for next subsequent 30min from 7.01am to 5.00pm
<b>Mon-Fri after 5/6pm: </b>\$2.90/entry from 5.01pm to 7.00am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.90/4hr block from 7.01am to 7.00am the following day","(0.022652671994865703, 1.8125271840710002)"
People's Park Centre,"101 Upper Cross Street, S(058357)",\$1.61/30min from 7am to 5pm,\$2.68/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>People's Park Centre
<b>Address: </b>101 Upper Cross Street, S(058357)
<b>Mon-Fri before 5/6pm: </b>\$1.61/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.68/entry from 5.01pm to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022441380690290016, 1.8124197468382353)"
OCBC Centre,"65 Chulia Street, S(049513)",\$2.20/30min from 6am to 6pm,"\$3.30/entry from 6pm to 12midnight, \$3.30/hr from 12midnight to 6am the following day","\$3.30/entry from 6am to 12midnight, \$3.30/hr from 12midnight to 6am the following day","\$3.30/entry from 6am to 12midnight, \$3.30/hr from 12midnight to 6am the following day","<b>Carpark: </b>OCBC Centre
<b>Address: </b>65 Chulia Street, S(049513)
<b>Mon-Fri before 5/6pm: </b>\$2.20/30min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.30/entry from 6pm to 12midnight, \$3.30/hr from 12midnight to 6am the following day
<b>Sat: </b>\$3.30/entry from 6am to 12midnight, \$3.30/hr from 12midnight to 6am the following day
<b>Sun/ Public Holiday: </b>\$3.30/entry from 6am to 12midnight, \$3.30/hr from 12midnight to 6am the following day","(0.022435547799929852, 1.812510928074347)"
Odeon Katong Shopping Centre,"11 East Coast Road, S(428722)",\$1.20/hr from 8am to 5pm,\$2.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.50/entry from 8am to 8am the following day,"<b>Carpark: </b>Odeon Katong Shopping Centre
<b>Address: </b>11 East Coast Road, S(428722)
<b>Mon-Fri before 5/6pm: </b>\$1.20/hr from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.50/entry from 8am to 8am the following day","(0.022768739880781829, 1.8134311302331809)"
Orchard Point,"160 Orchard Road, S(238842)","\$2.00 for 1st 1hr, \$1.50 for next subsequent 30min from 8am to 9.59pm","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 10pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Orchard Point
<b>Address: </b>160 Orchard Road, S(238842)
<b>Mon-Fri before 5/6pm: </b>\$2.00 for 1st 1hr, \$1.50 for next subsequent 30min from 8am to 9.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 10pm to 7.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022714880765394539, 1.8123596010468821)"
Fullerton Hotel,"1 Fullerton Square, S(049178)",\$1.07/10min from 7.01am to 6pm,"\$5.00/entry from 6.01pm to 12midnight, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day","<b>Carpark: </b>Fullerton Hotel
<b>Address: </b>1 Fullerton Square, S(049178)
<b>Mon-Fri before 5/6pm: </b>\$1.07/10min from 7.01am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$5.00/entry from 6.01pm to 12midnight, Additional \$7.00/entry from 12.01am to 7am the following day
<b>Sat: </b>\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day
<b>Sun/ Public Holiday: </b>\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day","(0.022451041087699807, 1.8125775385652494)"
Claymore Connect,"442 Orchard Road, S(238879)","\$3.00 for 1st hr or part thereof, \$1.50 for next subsequent 30min from 7am to 6pm",\$5.50/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.50/entry from 7am to 7am the following day,"<b>Carpark: </b>Claymore Connect
<b>Address: </b>442 Orchard Road, S(238879)
<b>Mon-Fri before 5/6pm: </b>\$3.00 for 1st hr or part thereof, \$1.50 for next subsequent 30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$5.50/entry from 6pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$5.50/entry from 7am to 7am the following day","(0.022822754330472549, 1.8121491719349569)"
Orchard Parade Hotel,"1 Tanglin Road, S(247905)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Orchard Parade Hotel
<b>Address: </b>1 Tanglin Road, S(247905)
<b>Mon-Fri before 5/6pm: </b>\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$5.00/entry from 6pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022804985133357998, 1.8121346717395312)"
Orchard Plaza,"150 Orchard Road, S(238841)",\$1.39/30min from 7am to 5pm,"\$3.85 for 1st 3hr, \$1.39 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Orchard Plaza
<b>Address: </b>150 Orchard Road, S(238841)
<b>Mon-Fri before 5/6pm: </b>\$1.39/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.85 for 1st 3hr, \$1.39 for next subsequent 30min from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022707168155429974, 1.8123690851660375)"
Orchard Towers,"400 Orchard Road, S(238875)",\$5.00/hr from 7am to 5.59pm,"\$9.00/entry from 6pm to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",Charges same as weekdays,"\$9.00/entry from 7am to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day","<b>Carpark: </b>Orchard Towers
<b>Address: </b>400 Orchard Road, S(238875)
<b>Mon-Fri before 5/6pm: </b>\$5.00/hr from 7am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$9.00/entry from 6pm to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$9.00/entry from 7am to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day","(0.022810945432753558, 1.8121607818651413)"
Oriental Plaza,"291 New Bridge Road, S(088756)","\$2.30 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Oriental Plaza
<b>Address: </b>291 New Bridge Road, S(088756)
<b>Mon-Fri before 5/6pm: </b>\$2.30 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 5pm to 7.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022372764816077112, 1.8123850811086319)"
Mandarin Oriental Singapore,"5 Raffles Avenue, S(039797)",Valet parking at \$15.00 per entry,Valet parking at \$15.00 per entry,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Mandarin Oriental Singapore
<b>Address: </b>5 Raffles Avenue, S(039797)
<b>Mon-Fri before 5/6pm: </b>Valet parking at \$15.00 per entry
<b>Mon-Fri after 5/6pm: </b>Valet parking at \$15.00 per entry
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022526144350742374, 1.8126700218169833)"
Novotel Clarke Quay,"177A River Valley Road, S(179031)",\$1.28/hr from 7am to 6pm,\$3.28/entry from 6pm to 7am the following day,Charges same as weekdays but \$3.21/entry after 1pm,Charges same as weekdays but \$3.28/entry from 1pm to 7am the following day,"<b>Carpark: </b>Novotel Clarke Quay
<b>Address: </b>177A River Valley Road, S(179031)
<b>Mon-Fri before 5/6pm: </b>\$1.28/hr from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.28/entry from 6pm to 7am the following day
<b>Sat: </b>Charges same as weekdays but \$3.21/entry after 1pm
<b>Sun/ Public Holiday: </b>Charges same as weekdays but \$3.28/entry from 1pm to 7am the following day","(0.022542787810489393, 1.8124372001307549)"
NTUC Income Centre,"75 Bras Basah Road, S(189557)",\$1.10/30min from 7am to 5pm,"\$2.14/entry from 5pm to 11pm, Car Park closed after 11pm daily",Charges same as weekdays,"\$2.14/entry from 7am to 11pm, Car Park closed after 11pm daily","<b>Carpark: </b>NTUC Income Centre
<b>Address: </b>75 Bras Basah Road, S(189557)
<b>Mon-Fri before 5/6pm: </b>\$1.10/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.14/entry from 5pm to 11pm, Car Park closed after 11pm daily
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.14/entry from 7am to 11pm, Car Park closed after 11pm daily","(0.022627338540773007, 1.8125521091180479)"
NTUC Income Tampines Point,"2 Tampines Central 6, S(529483)","\$1.50/hr for 1st hr, \$0.75 for next subsequent 30min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,Charges same as weekdays,\$2.50/entry from 6am to 6am the following day,"<b>Carpark: </b>NTUC Income Tampines Point
<b>Address: </b>2 Tampines Central 6, S(529483)
<b>Mon-Fri before 5/6pm: </b>\$1.50/hr for 1st hr, \$0.75 for next subsequent 30min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 6pm to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.50/entry from 6am to 6am the following day","(0.023608253722966616, 1.8141380147601773)"
NTUC Prinsep House,"30 Prinsep Street, S(188647)",\$1.25/30min from 7am to 5.59pm,"\$2.80/entry from 6pm to 11.59pm, \$5.00/entry from 12midnight to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>NTUC Prinsep House
<b>Address: </b>30 Prinsep Street, S(188647)
<b>Mon-Fri before 5/6pm: </b>\$1.25/30min from 7am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.80/entry from 6pm to 11.59pm, \$5.00/entry from 12midnight to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022672785169165686, 1.8125154432411221)"
NUS Car Park 2A - In front of Block E3A,Engineering Drive 1,"*\$0.0214/min from 8.30am to 7.30pm, maximum charge of \$1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*\$0.0214/min up to a maximum charge of \$2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day,"<b>Carpark: </b>NUS Car Park 2A - In front of Block E3A
<b>Address: </b>Engineering Drive 1
<b>Mon-Fri before 5/6pm: </b>*\$0.0214/min from 8.30am to 7.30pm, maximum charge of \$1.284 for vehicles entering from 6pm to 7.30pm
<b>Mon-Fri after 5/6pm: </b>*Free parking from 7.31pm to 8.29am the following day
<b>Sat: </b>*\$0.0214/min up to a maximum charge of \$2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day
<b>Sun/ Public Holiday: </b>*Free parking whole day from 8.30am to 8.29am the following day","(0.022698122113916887, 1.8111548927666807)"
Costa Sands Resort (Downtown East),"1 Pasir Ris Close, S(519599)","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$12.50/day from Mon to Thurs (except School/Public Holidays and Eve of Public Holidays)","\$2.40/entry from Mon to Thurs, \$3.40/entry on Fri to Sun and eve of public holidays from 5pm to 12midnight","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays","<b>Carpark: </b>Costa Sands Resort (Downtown East)
<b>Address: </b>1 Pasir Ris Close, S(519599)
<b>Mon-Fri before 5/6pm: </b>\$0.024/min from 12.01am to 4.59pm, maximum charge of \$12.50/day from Mon to Thurs (except School/Public Holidays and Eve of Public Holidays)
<b>Mon-Fri after 5/6pm: </b>\$2.40/entry from Mon to Thurs, \$3.40/entry on Fri to Sun and eve of public holidays from 5pm to 12midnight
<b>Sat: </b>\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays
<b>Sun/ Public Holiday: </b>\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays","(0.024046345327851208, 1.8143539940191238)"
Plaza Singapura,"68 Orchard Road, S(238839)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day on Mon to Fri","\$2.57/entry from 6pm to 11.59pm from Mon to Thur, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm","<b>Carpark: </b>Plaza Singapura
<b>Address: </b>68 Orchard Road, S(238839)
<b>Mon-Fri before 5/6pm: </b>\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day on Mon to Fri
<b>Mon-Fri after 5/6pm: </b>\$2.57/entry from 6pm to 11.59pm from Mon to Thur, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH
<b>Sat: </b>\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day
<b>Sun/ Public Holiday: </b>\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm","(0.022703092811626569, 1.8124371198456095)"
PARKROYAL on Beach Road,"7500A Beach Road, S(199591)","\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 5pm",\$2.50/entry from 5pm to 7am the following day,"\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 1pm, \$2.50/entry from 1pm to 7am the following day",\$2.50/entry from 7am to 7am the following day,"<b>Carpark: </b>PARKROYAL on Beach Road
<b>Address: </b>7500A Beach Road, S(199591)
<b>Mon-Fri before 5/6pm: </b>\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 5pm to 7am the following day
<b>Sat: </b>\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 1pm, \$2.50/entry from 1pm to 7am the following day
<b>Sun/ Public Holiday: </b>\$2.50/entry from 7am to 7am the following day","(0.022685903063823672, 1.8127105745421535)"
One Raffles Place,"1 Raffles Place, S(048616)",\$3.00/30min from 7am to 5pm,\$3.75/entry from 5pm to 7am the following day,\$3.75/entry from 7am to 7am the following day,\$3.75/entry from 7am to 7am the following day,"<b>Carpark: </b>One Raffles Place
<b>Address: </b>1 Raffles Place, S(048616)
<b>Mon-Fri before 5/6pm: </b>\$3.00/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.75/entry from 5pm to 7am the following day
<b>Sat: </b>\$3.75/entry from 7am to 7am the following day
<b>Sun/ Public Holiday: </b>\$3.75/entry from 7am to 7am the following day","(0.022417050800517216, 1.8125415638387072)"
East Coast Park (Carpark E1),East Coast Park Service Road,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"<b>Carpark: </b>East Coast Park (Carpark E1)
<b>Address: </b>East Coast Park Service Road
<b>Mon-Fri before 5/6pm: </b>HDB / URA parking rates
<b>Mon-Fri after 5/6pm: </b>HDB / URA parking rates
<b>Sat: </b>HDB / URA parking rates
<b>Sun/ Public Holiday: </b>HDB / URA parking rates","(0.022816708509943644, 1.8139141047251097)"
Pacific Plaza,"9 Scotts Road, S(228210)",\$1.50/30min from 8am to 6pm,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 6pm to 8am the following day",Charges same as weekdays,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 8am to 8am the following day","<b>Carpark: </b>Pacific Plaza
<b>Address: </b>9 Scotts Road, S(228210)
<b>Mon-Fri before 5/6pm: </b>\$1.50/30min from 8am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 6pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 8am to 8am the following day","(0.022803847178685697, 1.812211361506864)"
